id,comment,zoneid,tips
30083,伊甸零式希望乐园 觉醒之章2,,
20066,哈迪斯歼灭战,,
30084,伊甸希望乐园 觉醒之章4,,
30085,伊甸零式希望乐园 觉醒之章4,,
73,魔法宫殿宇宙宫,,
20067,哈迪斯孤念歼灭战,,
30086,亚历山大绝境战,,
30087,复制工厂废墟,,
74,黑风海底阿尼德罗追忆馆,,
30088,伊甸希望乐园 共鸣之章1,,
30089,伊甸零式希望乐园 共鸣之章1,,
20068,红宝石神兵破坏作战,,
20069,红宝石神兵狂想作战,,
30090,伊甸希望乐园 共鸣之章2,,
30091,伊甸零式希望乐园 共鸣之章2,,
20070,博兹雅堡垒追忆战,,
30092,伊甸希望乐园 共鸣之章3,,
30093,伊甸零式希望乐园 共鸣之章3,,
30094,伊甸希望乐园 共鸣之章4,,
30095,伊甸零式希望乐园 共鸣之章4,,
30096,人偶军事基地,,
75,暗影决战诺弗兰特,,
20071,光之战士歼灭战,,
20072,光之战士幻耀歼灭战,,
76,魔术工房玛托雅工作室,,
30099,伊甸希望乐园 再生之章2,,
30100,伊甸零式希望乐园 再生之章2,,
30097,伊甸希望乐园 再生之章1,,
30098,伊甸零式希望乐园 再生之章1,,
30101,伊甸希望乐园 再生之章3,,
30102,伊甸零式希望乐园 再生之章3,,
30103,伊甸希望乐园 再生之章4,,
30104,伊甸零式希望乐园 再生之章4,,
20073,绿宝石神兵破坏作战,,
20074,绿宝石神兵狂想作战,,
77,黄金平原帕戈尔赞草原,,
30105,希望之炮台：“塔”,,
20075,钻石神兵捕获作战,,
20076,钻石神兵狂想作战,951,开场站位|西半场:MT D1 D3 H1　东半场:ST D2 D4 H2|分散|H1 MT&nbsp;&nbsp;&nbsp;MT  H1|D3 D1&nbsp;&nbsp;&nbsp;D1 D3|H2 ST&nbsp;&nbsp;&nbsp;ST  H2|D4 D2&nbsp;&nbsp;&nbsp;D2 D4|麻将站位|5・1&nbsp;&nbsp;&nbsp;6・2|3・7&nbsp;&nbsp;&nbsp;4・8
78,异形楼阁佐特塔,,
79,电脑梦境斯提格玛四,,
80,魔导神门巴别塔,,
81,星海深幽寻因星晶镜,,
82,创造环境极北造物院,,
83,末日树海万相森国,,
20077,海德林歼灭战,,
20078,海德林晖光歼灭战,,
84,最终幻想末世终迹,973,
85,乐园都市笑笑镇,,
20079,终结之战,,
30107,万魔殿 边境之狱4,,
20080,佐迪亚克歼灭战,,
20081,佐迪亚克暝暗歼灭战,,
30109,万魔殿 边境之狱3,,
30111,万魔殿 边境之狱1,,
30113,万魔殿 边境之狱2,,
30108,零式万魔殿 边境之狱4,,
30110,零式万魔殿 边境之狱3,,
30112,零式万魔殿 边境之狱1,,
30114,零式万魔殿 边境之狱2,,
86,最终决战天幕魔导城,,
64004,究极神兵幻巧战,,
20082,究极神兵破坏作战,,
87,近东秘宝阿尔扎达尔海底遗迹群,,
20083,终极之战,,
30115,灿烂神域阿格莱亚,1054,
,田园郡,478,
,穹顶皓天,979,
,拉札罕,963,
,龙堡参天高地,398,
,龙堡内陆低地,399,
,旧萨雷安,962,
,厄尔庇斯,961,
,加雷马,958,
,叹息海,959,
,迷津,956,
,格里达尼亚旧街,133,
,格里达尼亚新街,132,
,摩杜纳,156,
,南森,153,
,死宫,593,
,中森,148,
,东森,152,
,北森,154,
,冒险者小队,534,
,乌尔达哈现世回廊,130,
,乌尔达哈来生回廊,131,
,东萨纳兰,145,
,基拉巴尼亚山区,620,
,天外天垓,960,
,萨维奈岛,957,
,东拉诺西亚,137,
,安穆埃兰,815,
